unique_number,id_no,name_en,short_description_en,justification_en,date_inscribed,secondary_dates,danger_list,longitude,latitude,area_hectares,criteria_txt,category,states_name_en,region_en,iso_code,udnp_code,transboundary
412,359,Thracian Tomb of Sveshtari,"<p>Discovered in 1982 near the village of Sveshtari, this 3rd-century BC Thracian tomb reflects the fundamental structural principles of Thracian cult buildings. The tomb has a unique architectural decor, with polychrome half-human, half-plant caryatids and painted murals. The 10 female figures carved in high relief on the walls of the central chamber and the decoration of the lunette in its vault are the only examples of this type found so far in the Thracian lands. It is a remarkable reminder of the culture of the Getes, a Thracian people who were in contact with the Hellenistic and Hyperborean worlds, according to ancient geographers.</p>",,1985,,,26.66667,43.66667,647.6,(i)(iii),Cultural,Bulgaria,Europe and North America,bg,bgr,0
1985,1442,Silk Roads: the Routes Network of Chang'an-Tianshan Corridor,"<p>This property is a 5,000&nbsp;km section of the extensive Silk Roads network, stretching from Chang&rsquo;an/Luoyang, the central capital of China in the Han and Tang dynasties, to the Zhetysu region of Central Asia. It took shape between the 2nd century BC and 1st century AD and remained in use until the 16th century, linking multiple civilizations and facilitating far-reaching exchanges of activities in trade, religious beliefs, scientific knowledge, technological innovation, cultural practices and the arts. The thirty-three components included in the routes network include capital cities and palace complexes of various empires and Khan kingdoms, trading settlements, Buddhist cave temples, ancient paths, posthouses, passes, beacon towers, sections of The Great Wall, fortifications, tombs and religious buildings.</p>",,2014,,,108.8572222,34.30444444,42668.16,(ii)(iii)(v)(vi),Cultural,"China,Kazakhstan,Kyrgyzstan",Asia and the Pacific,"cn,kz,kg","chn,kaz,kgz",1
105,97,Historical Complex of Split with the Palace of Diocletian,"<p>The ruins of Diocletian's Palace, built between the late 3rd and the early 4th centuries A.D., can be found throughout the city. The cathedral was built in the Middle Ages, reusing materials from the ancient mausoleum. Twelfth- and 13th-century Romanesque churches, medieval fortifications, 15th-century Gothic palaces and other palaces in Renaissance and Baroque style make up the rest of the protected area.</p>",,1979,,,16.44333,43.50944,20.8,(ii)(iii)(iv),Cultural,Croatia,Europe and North America,hr,hrv,0
956,809,Episcopal Complex of the Euphrasian Basilica in the Historic Centre of Pore?,"<p>The group of religious monuments in Porec, where Christianity was established as early as the 4th century, constitutes the most complete surviving complex of its type. The basilica, atrium, baptistery and episcopal palace are outstanding examples of religious architecture, while the basilica itself combines classical and Byzantine elements in an exceptional manner.</p>","<p>The Committee decided to inscribe this property on the basis of criteria (ii), (iii) and (iv), considering that the Episcopal complex of the Euphrasian Basilica in the historic centre of Porec is an outstanding example of an early Christian episcopal ensemble that is exceptional by virtue of its completeness and its unique Basilican cathedral.</p>",1997,,,13.59444,45.22917,1.1,(ii)(iii)(iv),Cultural,Croatia,Europe and North America,hr,hrv,0
1484,1240,Stari Grad Plain,"<p>Stari Grad Plain on the Adriatic island of Hvar is a cultural landscape that has remained practically intact since it was first colonized by Ionian Greeks from Paros in the 4th century BC. The original agricultural activity of this fertile plain, mainly centring on grapes and olives, has been maintained since Greek times to the present. The site is also a natural reserve. The landscape features ancient stone walls and trims, or small stone shelters, and bears testimony to the ancient geometrical system of land division used by the ancient Greeks, the chora which has remained virtually intact over 24 centuries.</p>",,2008,,,16.63861111,43.18166667,1376.53,(ii)(iii)(v),Cultural,Croatia,Europe and North America,hr,hrv,0
85,79,Paphos,"<p>Paphos has been inhabited since the Neolithic period. It was a centre of the cult of Aphrodite and of pre-Hellenic fertility deities. Aphrodite's legendary birthplace was on this island, where her temple was erected by the Myceneans in the 12th century B.C. The remains of villas, palaces, theatres, fortresses and tombs mean that the site is of exceptional architectural and historic value. The mosaics of Nea Paphos are among the most beautiful in the world.</p>",,1980,,,32.40556,34.75833,0,(iii)(vi),Cultural,Cyprus,Europe and North America,cy,cyp,0
401,351,Painted Churches in the Troodos Region,"<p>This region is characterized by one of the largest groups of churches and monasteries of the former Byzantine Empire. The complex of 10 monuments included on the World Heritage List, all richly decorated with murals, provides an overview of Byzantine and post-Byzantine painting in Cyprus. They range from small churches whose rural architectural style is in stark contrast to their highly refined decoration, to monasteries such as that of St John Lampadistis.</p>",,1985,2001,,33.09583333,34.92027778,0,(ii)(iii)(iv),Cultural,Cyprus,Europe and North America,cy,cyp,0
92,86,Memphis and its Necropolis – the Pyramid Fields from Giza to Dahshur,"<p>The capital of the Old Kingdom of Egypt has some extraordinary funerary monuments, including rock tombs, ornate mastabas, temples and pyramids. In ancient times, the site was considered one of the Seven Wonders of the World.</p>",,1979,,,31.13041,29.97604,16358.52,(i)(iii)(vi),Cultural,Egypt,Arab States,eg,egy,0
93,87,Ancient Thebes with its Necropolis,"<p>Thebes, the city of the god Amon, was the capital of Egypt during the period of the Middle and New Kingdoms. With the temples and palaces at Karnak and Luxor, and the necropolises of the Valley of the Kings and the Valley of the Queens, Thebes is a striking testimony to Egyptian civilization at its height.</p>",,1979,,,32.6,25.73333,7390.16,(i)(iii)(vi),Cultural,Egypt,Arab States,eg,egy,0
94,88,Nubian Monuments from Abu Simbel to Philae,"<p>This outstanding archaeological area contains such magnificent monuments as the Temples of Ramses II at Abu Simbel and the Sanctuary of Isis at Philae, which were saved from the rising waters of the Nile thanks to the International Campaign launched by UNESCO, in 1960 to 1980.</p>",,1979,,,31.62611,22.33639,374.48,(i)(iii)(vi),Cultural,Egypt,Arab States,eg,egy,0
96,90,Abu Mena,"<p>The church, baptistry, basilicas, public buildings, streets, monasteries, houses and workshops in this early Christian holy city were built over the tomb of the martyr Menas of Alexandria, who died in A.D. 296.</p>",,1979,,Y 2001,29.66666667,30.83583333,182.72,(iv),Cultural,Egypt,Arab States,eg,egy,0
1116,954,Saint Catherine Area,"<p>The Orthodox Monastery of St Catherine stands at the foot of Mount Horeb where, the Old Testament records, Moses received the Tablets of the Law. The mountain is known and revered by Muslims as Jebel Musa. The entire area is sacred to three world religions: Christianity, Islam, and Judaism. The Monastery, founded in the 6th century, is the oldest Christian monastery still in use for its initial function. Its walls and buildings of great significace to studies of Byzantine architecture and the Monastery houses outstanding collections of early Christian manuscripts and icons. The rugged mountainous landscape, containing numerous archaeological and religious sites and monuments, forms a perfect backdrop to the Monastery.</p>","<p><em>Criterion (i):</em> The architecture of St Catherine's Monastery, the artistic treasures that it houses, and its domestic integration into a rugged landscape combine to make it an outstanding example of human creative genius.</p>
<p><em>Criterion (iii):</em> St Catherine's Monastery is one of the very early outstanding examples in Eastern tradition of a Christian monastic settlement located in a remote area. It demonstrates an intimate relationship between natural grandeur and spiritual commitment.</p>
<p><em>Criterion (iv):</em> Ascetic monasticism in remote areas prevailed in the early Christian church and resulted in the establishment of monastic communities in remote places. St Catherine's Monastery is one of the earliest of these and the oldest to have survived intact, being used for its initial function without interruption since the 6th century.</p>
<p><em>Criterion (vi):</em> The St Catherine&rsquo;s area, centred on the holy mountain of Mount Sina&iuml; (Jebel Musa, Mount Horeb), like the Old City of Jerusalem, is sacred to three world religions: Christianity, Islam, and Judaism.</p>",2002,,,33.97543,28.55623,60100,(i)(iii)(iv)(vi),Cultural,Egypt,Arab States,eg,egy,0
18,15,Aksum,"<p>The ruins of the ancient city of Aksum are found close to Ethiopia's northern border. They mark the location of the heart of ancient Ethiopia, when the Kingdom of Aksum was the most powerful state between the Eastern Roman Empire and Persia. The massive ruins, dating from between the 1st and the 13th century A.D., include monolithic obelisks, giant stelae, royal tombs and the ruins of ancient castles. Long after its political decline in the 10th century, Ethiopian emperors continued to be crowned in Aksum.</p>",,1980,,,38.71861,14.13019,0,(i)(iv),Cultural,Ethiopia,Africa,et,eth,0
1568,163,"Roman Theatre and its Surroundings and the ""Triumphal Arch"" of Orange","<p>Situated in the Rhone valley, the ancient theatre of Orange, with its 103-m-long facade, is one of the best preserved of all the great Roman theatres. Built between A.D. 10 and 25, the Roman arch is one of the most beautiful and interesting surviving examples of a provincial triumphal arch from the reign of Augustus. It is decorated with low reliefs commemorating the establishment of the Pax Romana.</p>",,1981,,,4.808416667,44.13572222,9.45,(iii)(vi),Cultural,France,Europe and North America,fr,fra,0
182,164,"Arles, Roman and Romanesque Monuments","<p>Arles is a good example of the adaptation of an ancient city to medieval European civilization. It has some impressive Roman monuments, of which the earliest – the arena, the Roman theatre and the cryptoporticus (subterranean galleries) – date back to the 1st century B.C. During the 4th century Arles experienced a second golden age, as attested by the baths of Constantine and the necropolis of Alyscamps. In the 11th and 12th centuries, Arles once again became one of the most attractive cities in the Mediterranean. Within the city walls, Saint-Trophime, with its cloister, is one of Provence's major Romanesque monuments.</p>",,1981,,,4.630694444,43.67763889,65,(ii)(iv),Cultural,France,Europe and North America,fr,fra,0
1566,344,Pont du Gard (Roman Aqueduct),"The Pont du Gard was built shortly before the Christian era to allow the aqueduct of Nîmes (which is almost 50 km long) to cross the Gard river. The Roman architects and hydraulic engineers who designed this bridge, which stands almost 50 m high and is on three levels – the longest measuring 275 m – created a technical as well as an artistic masterpiece.",,1985,,,4.535277778,43.94722222,0.3257,(i)(iii)(iv),Cultural,France,Europe and North America,fr,fra,0
393,345,Historic Fortified City of Carcassonne,"<p>Since the pre-Roman period, a fortified settlement has existed on the hill where Carcassonne now stands. In its present form it is an outstanding example of a medieval fortified town, with its massive defences encircling the castle and the surrounding buildings, its streets and its fine Gothic cathedral. Carcassonne is also of exceptional importance because of the lengthy restoration campaign undertaken by Viollet-le-Duc, one of the founders of the modern science of conservation.</p>","<p>The Committee decided to inscribe this property on the basis of <em>criteria (ii) and (iv)</em>, considering that the historic town of Carcassonne is an excellent example of a medieval fortified town whose massive defences were constructed on walls dating from Late Antiquity. It is of exceptional importance by virtue of the restoration work carried out in the second half of the 19th century by Viollet-le-Duc, which had a profound influence on subsequent developments in conservation principles and practice.</p>",1997,,,2.358888889,43.21055556,11,(ii)(iv),Cultural,France,Europe and North America,fr,fra,0
1023,872,Historic Site of Lyon,"<p>The long history of Lyon, which was founded by the Romans in the 1st century B.C. as the capital of the Three Gauls and has continued to play a major role in Europe's political, cultural and economic development ever since, is vividly illustrated by its urban fabric and the many fine historic buildings from all periods.</p>","<p><em>Criterion (ii):</em> Lyon bears exceptional testimony to the continuity of urban settlement over more than two millennia on a site of great commercial and strategic significance, where cultural traditions from many parts of Europe have come together to create a coherent and vigorous continuing community.</p>
<p><em>Criterion (iv):</em> By virtue of the special way in which it has developed spatially, Lyon illustrates in an exceptional way the progress and evolution of architectural design and town planning over many centuries.</p>",1998,,,4.83333,45.76722,427,(ii)(iv),Cultural,France,Europe and North America,fr,fra,0
1088,932,Jurisdiction of Saint-Emilion,"<p>Viticulture was introduced to this fertile region of Aquitaine by the Romans, and intensified in the Middle Ages. The Saint-Emilion area benefited from its location on the pilgrimage route to Santiago de Compostela and many churches, monasteries and hospices were built there from the 11th century onwards. It was granted the special status of a 'jurisdiction' during the period of English rule in the 12th century. It is an exceptional landscape devoted entirely to wine-growing, with many fine historic monuments in its towns and villages.</p>","<p><em>Criterion (iii):</em> The Jurisdiction of Saint-Emilion is an outstanding example of an historic vineyard landscape that has survived intact and in activity to the present day.</p>
<p><em>Criterion (iv):</em> The intensive cultivation of grapes for wine production in a precisely defined region and the resulting landscape is illustrated in an exceptional way by the historic Jurisdiction of Saint-Emilion.</p>",1999,,,-0.155277778,44.89472222,7847,(iii)(iv),Cultural,France,Europe and North America,fr,fra,0
420,367,"Roman Monuments, Cathedral of St Peter and Church of Our Lady in Trier","<p>Trier, which stands on the Moselle River, was a Roman colony from the 1st century AD and then a great trading centre beginning in the next century. It became one of the capitals of the Tetrarchy at the end of the 3rd century, when it was known as the &lsquo;second Rome&rsquo;. The number and quality of the surviving monuments are an outstanding testimony to Roman civilization.</p>",,1986,,,6.633333333,49.75,0,(i)(iii)(iv)(vi),Cultural,Germany,Europe and North America,de,deu,0
1335,1155,Old town of Regensburg with Stadtamhof,"<p>Located on the Danube River in Bavaria, this medieval town contains many buildings of exceptional quality that testify to its history as a trading centre and to its influence on the region from the 9th century. A notable number of historic structures span some two millennia and include ancient Roman, Romanesque and Gothic buildings. Regensburg&rsquo;s 11th- to 13th-century architecture &ndash; including the market, city hall and cathedral &ndash; still defines the character of the town marked by tall buildings, dark and narrow lanes, and strong fortifications. The buildings include medieval patrician houses and towers, a large number of churches and monastic ensembles as well as the 12th-century Old Bridge. The town is also remarkable for the vestiges testifing to its rich history as one of the centres of the Holy Roman Empire that turned to Protestantism.</p>",,2006,,,12.09916667,49.02055556,182.8,(ii)(iii)(iv),Cultural,Germany,Europe and North America,de,deu,0
1539,430,Frontiers of the Roman Empire,"<p>The ‘Roman Limes’ represents the border line of the Roman Empire at its greatest extent in the 2nd century AD. It stretched over 5,000 km from the Atlantic coast of northern Britain, through Europe to the Black Sea, and from there to the Red Sea and across North Africa to the Atlantic coast. The remains of the Limes today consist of vestiges of built walls, ditches, forts, fortresses, watchtowers and civilian settlements. Certain elements of the line have been excavated, some reconstructed and a few destroyed. The two sections of the Limes in Germany cover a length of 550 km from the north-west of the country to the Danube in the south-east. The 118-km-long Hadrian’s Wall (UK) was built on the orders of the Emperor Hadrian c. AD 122 at the northernmost limits of the Roman province of Britannia. It is a striking example of the organization of a military zone and illustrates the defensive techniques and geopolitical strategies of ancient Rome. The Antonine Wall, a 60-km long fortification in Scotland was started by Emperor Antonius Pius in 142 AD as a defense against the “barbarians” of the north. It constitutes the northwestern-most portion of the Roman Limes.</p>",,1987,"20,052,008",,-2.601,54.99261111,526.9,(ii)(iii)(iv),Cultural,"Germany,United Kingdom of Great Britain and Northern Ireland",Europe and North America,"de,gb","deu,gbr",1
452,392,Temple of Apollo Epicurius at Bassae,"<p>This famous temple to the god of healing and the sun was built towards the middle of the 5th century B.C. in the lonely heights of the Arcadian mountains. The temple, which has the oldest Corinthian capital yet found, combines the Archaic style and the serenity of the Doric style with some daring architectural features.</p>",,1986,,,21.89694,37.43498,20.46,(i)(ii)(iii),Cultural,Greece,Europe and North America,gr,grc,0
453,393,Archaeological Site of Delphi,"<p>The pan-Hellenic sanctuary of Delphi, where the oracle of Apollo spoke, was the site of the omphalos, the 'navel of the world'. Blending harmoniously with the superb landscape and charged with sacred meaning, Delphi in the 6th century B.C. was indeed the religious centre and symbol of unity of the ancient Greek world.</p>",,1987,,,22.49617,38.48149,51.04,(i)(ii)(iii)(iv)(vi),Cultural,Greece,Europe and North America,gr,grc,0
467,404,"Acropolis, Athens","<p>The Acropolis of Athens and its monuments are universal symbols of the classical spirit and civilization and form the greatest architectural and artistic complex bequeathed by Greek Antiquity to the world. In the second half of the fifth century bc, Athens, following the victory against the Persians and the establishment of democracy, took a leading position amongst the other city-states of the ancient world. In the age that followed, as thought and art flourished, an exceptional group of artists put into effect the ambitious plans of Athenian statesman Pericles and, under the inspired guidance of the sculptor Pheidias, transformed the rocky hill into a unique monument of thought and the arts. The most important monuments were built during that time: the Parthenon, built by Ictinus, the Erechtheon, the Propylaea, the monumental entrance to the Acropolis, designed by Mnesicles and the small temple Athena Nike.&nbsp;</p>",,1987,,,23.72618,37.97087,3.04,(i)(ii)(iii)(iv)(vi),Cultural,Greece,Europe and North America,gr,grc,0
528,456,Paleochristian and Byzantine Monuments of Thessalonika,"<p>Founded in 315 B.C., the provincial capital and sea port of Thessalonika was one of the first bases for the spread of Christianity. Among its Christian monuments are fine churches, some built on the Greek cross plan and others on the three-nave basilica plan. Constructed over a long period, from the 4th to the 15th century, they constitute a diachronic typological series, which had considerable influence in the Byzantine world. The mosaics of the rotunda, St Demetrius and St David are among the great masterpieces of early Christian art.</p>",,1988,,,22.965,40.63833,5.327,(i)(ii)(iv),Cultural,Greece,Europe and North America,gr,grc,0
571,491,Sanctuary of Asklepios at Epidaurus,"<p>In a small valley in the Peloponnesus, the shrine of Asklepios, the god of medicine, developed out of a much earlier cult of Apollo (Maleatas), during the 6th century BC at the latest, as the official cult of the city state of Epidaurus. Its principal monuments, particularly the temple of Asklepios, the Tholos and the Theatre - considered one of the purest masterpieces of Greek architecture &ndash; date from the 4th century. The vast site, with its temples and hospital buildings devoted to its healing gods, provides valuable insight into the healing cults of Greek and Roman times.</p>",,1988,,,23.11666667,37.66666667,1393.8,(i)(ii)(iii)(iv)(vi),Cultural,Greece,Europe and North America,gr,grc,0
603,517,Archaeological Site of Olympia,"<p>The site of Olympia, in a valley in the Peloponnesus, has been inhabited since prehistoric times. In the 10th century B.C., Olympia became a centre for the worship of Zeus. The Altis &ndash; the sanctuary to the gods &ndash; has one of the highest concentrations of masterpieces from the ancient Greek world. In addition to temples, there are the remains of all the sports structures erected for the Olympic Games, which were held in Olympia every four years beginning in 776 B.C.</p>",,1989,,,21.66666667,37.65,105.6,(i)(ii)(iii)(iv)(vi),Cultural,Greece,Europe and North America,gr,grc,0
620,530,Delos,"<p>According to Greek mythology, Apollo was born on this tiny island in the Cyclades archipelago. Apollo's sanctuary attracted pilgrims from all over Greece and Delos was a prosperous trading port. The island bears traces of the succeeding civilizations in the Aegean world, from the 3rd millennium B.C. to the palaeochristian era. The archaeological site is exceptionally extensive and rich and conveys the image of a great cosmopolitan Mediterranean port.</p>",,1990,,,25.26667,37.4,350.64,(ii)(iii)(iv)(vi),Cultural,Greece,Europe and North America,gr,grc,0
632,537,"Monasteries of Daphni, Hosios Loukas and Nea Moni of Chios","<p>Although geographically distant from each other, these three monasteries (the first is in Attica, near Athens, the second in Phocida near Delphi, and the third on an island in the Aegean Sea, near Asia Minor) belong to the same typological series and share the same aesthetic characteristics. The churches are built on a cross-in-square plan with a large dome supported by squinches defining an octagonal space. In the 11th and 12th centuries they were decorated with superb marble works as well as mosaics on a gold background, all characteristic of the 'second golden age of Byzantine art'.</p>",,1990,,,22.75,38.4,3.7,(i)(iv),Cultural,Greece,Europe and North America,gr,grc,0
703,595,Pythagoreion and Heraion of Samos,"<p>Many civilizations have inhabited this small Aegean island, near Asia Minor, since the 3rd millennium B.C. The remains of Pythagoreion, an ancient fortified port with Greek and Roman monuments and a spectacular tunnel-aqueduct, as well as the Heraion, temple of the Samian Hera, can still be seen.</p>",,1992,,,26.94333,37.69083,668.35,(ii)(iii),Cultural,Greece,Europe and North America,gr,grc,0
923,780,Archaeological Site of Aigai (modern name Vergina),"<p>The city of Aigai, the ancient first capital of the Kingdom of Macedonia, was discovered in the 19th century near Vergina, in northern Greece. The most important remains are the monumental palace, lavishly decorated with mosaics and painted stuccoes, and the burial ground with more than 300 tumuli, some of which date from the 11th century B.C. One of the royal tombs in the Great Tumulus is identified as that of Philip II, who conquered all the Greek cities, paving the way for his son Alexander and the expansion of the Hellenistic world.</p>","<p>The Committee decided to inscribe the nominated property on the basis of cultural criteria (i) and (iii) considering that the site is of outstanding universal value representing an exceptional testimony to a significant development in European civilization, at the transition from classical city-state to the imperial structure of the Hellenistic and Roman periods. This is vividly demonstrated in particular by the remarkable series of royal tombs and their rich contents. The Committee decided to add to the proposed criteria cultural criterion (i), since the paintings found at Vergina are of extraordinarily high quality and historical importance.</p>",1996,,,22.31833,40.47139,1420.81,(i)(iii),Cultural,Greece,Europe and North America,gr,grc,0
1097,941,Archaeological Sites of Mycenae and Tiryns,"<p>The archaeological sites of Mycenae and Tiryns are the imposing ruins of the two greatest cities of the Mycenaean civilization, which dominated the eastern Mediterranean world from the 15th to the 12th century B.C. and played a vital role in the development of classical Greek culture. These two cities are indissolubly linked to the Homeric epics, the <em>Iliad</em> and the <em>Odyssey</em> , which have influenced European art and literature for more than three millennia.</p>","<p><em>Criterion (i):</em> The architecture and design of Mycenae and Tiryns, such as the Lion Gate and the Treasury of Atreus at Mycenae and the walls of Tiryns, are outstanding examples of human creative genius.</p>
<p><em>Criterion (ii):</em> The Mycenaean civilization, as exemplified by Mycenae and Tiryns, had a profound effect on the development of classical Greek architecture and urban design, and consequently also on contemporary cultural forms.</p>
<p><em>Criteria (iii) and (iv):</em> Mycenae and Tiryns represent the apogee of the Mycenaean civilization, which laid the foundations for the evolution of later European cultures.</p>
<p><em>Criterion (vi):</em> Mycenae and Tiryns are indissolubly linked with the Homeric epics, the Iliad and the Odyssey, the influence of which upon European literature and the arts has been profound for more than three millennia.</p>",1999,,,22.75,37.73333333,0,(i)(ii)(iii)(iv)(vi),Cultural,Greece,Europe and North America,gr,grc,0
